Protein	FHT_Protien_Count	FHT_Protien_ProteinLists	Unique Peptide Count	Unique Sequence Count	Froze_Core_2015_N1_0_10_13	Froze_Core_2015_N1_10_20_21	Froze_Core_2015_N1_20_30_20	Froze_Core_2015_N1_30_40_25	Froze_Core_2015_N1_40_50_16	Froze_Core_2015_N2_0_30_8	Froze_Core_2015_N2_30_40_10	Froze_Core_2015_N2_40_50_1	Froze_Core_2015_N2_50_60_34	Froze_Core_2015_N3_0_10_27	Froze_Core_2015_N3_10_20_30	Froze_Core_2015_N3_20_30_32	Froze_Core_2015_N3_30_40_9	Froze_Core_2015_N3_40_50_6	Froze_Core_2015_N3_50_60_28	Froze_Core_2015_S1_0_10_18	Froze_Core_2015_S1_10_20_33	Froze_Core_2015_S1_20_30_19	Froze_Core_2015_S1_30_40_3	Froze_Core_2015_S1_40_50_17	Froze_Core_2015_S1_50_60_23	Froze_Core_2015_S2_0_10_7	Froze_Core_2015_S2_10_20_24	Froze_Core_2015_S2_20_30_31	Froze_Core_2015_S2_30_40_15	Froze_Core_2015_S2_40_50_29	Froze_Core_2015_S2_50_60_2	Froze_Core_2015_S3_0_10_22	Froze_Core_2015_S3_10_20_5	Froze_Core_2015_S3_20_30_14	Froze_Core_2015_S3_30_40_12	Froze_Core_2015_S3_40_50_26	Froze_Core_2015_S3_50_60_4
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_5_0002	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_5_0002	5	5		3	3	2	1	3	2	3	1								1	3		1	4										1		
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_51_0009	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_51_0009	1	1									1																								
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_52_0005	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_52_0005	1	1		1																		1													
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_53_0006	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_53_0006	1	1																									1								
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_556_0001	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_556_0001	3	2		1	1				2	1						2				2											1				
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_56_0001	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_56_0001	1	1		1																															
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_560_0004	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_560_0004	5	5								1	4											1					3					2			
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_58_0003	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_58_0003	1	1																									1								
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_6_0009	3	"N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_95_0013, S2_50_60_OSU_bin.32.fa.annotation_scaffold_197_0008, S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_6_0009"	1	1																	1																
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_6_0031	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_6_0031	1	1																		1															
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_60_0005	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_60_0005	1	1		1						1																									
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_62_0008	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_62_0008	3	2	1	2	2	2	2	2	4	2	1				1	2	2		1			2	2				2	1				1			
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_63_0002	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_63_0002	1	1		1						1																									
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_64_0008	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_64_0008	1	1														1																			
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_68_0004	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_68_0004	4	4							4		1																								
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_68_0007	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_68_0007	3	2		1	1	1	1	1	3	1						1	1			1		1	1				1				1	2			
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_7_0002	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_7_0002	1	1																						1		1									
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_7_0022	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_7_0022	1	1									1								1																
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_7_0026	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_7_0026	1	1																										1							
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_71_0007	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_71_0007	1	1														1																			
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_72_0006	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_72_0006	1	1																		1															
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_75_0002	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_75_0002	1	1		1																1															
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_75_0004	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_75_0004	1	1																												1					
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_77_0003	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_77_0003	7	7	1	8	1		1		1	1										3															
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_77_0004	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_77_0004	5	5		2	4		2		6	1					1					2			1												
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_79_0002	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_79_0002	1	1																	1																
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_82_0003	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_82_0003	1	1							1																										
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_82_0006	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_82_0006	3	3			1			1		2							1			2															
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_84_0006	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_84_0006	1	1																																1	
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_86_0003	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_86_0003	1	1																														1			
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_92_0003	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_92_0003	1	1							1																										
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_92_0005	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_92_0005	1	1				1																													
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_97_0005	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_97_0005	1	1							1																										
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_98_0004	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_98_0004	4	4	1	1	1		1		4													1	1												
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_99_0004	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_99_0004	1	1																		1															
